precio_m2_inmueble,id_propiedad,ciudad,barrio,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion,comunidad_autonoma,poblacion,superficie_km2,precio_m2_ciudad,latitud_centro,longitud_centro,distrito,renta_media,precio_m2_barrio,latitud_barrio,longitud_barrio,num_colegios,num_centros_salud,num_estaciones_transp,num_zonas_verdes,nivel_servicios,indice_seguridad,indice_contaminacion,indice_accesibilidad,descripcion,poblacion_km2
,1,madrid,arganzuela,Venta,estudio,,57.8,1,1,buen estado,2000,segundo,1,1,0,0,1,4.1,2024-11-04,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Vivienda de planta única, generalmente compacta.",5460.863809366209
,2,madrid,arganzuela,Alquiler,piso,,,3,1,buen estado,1996,bajo,1,1,0,0,1,5.26,2024-10-16,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5334.879093693461,3,madrid,salamanca,Venta,piso,821455.0,153.97818499224647,2,1,buen estado,1996,tercero,0,1,0,0,0,5.13,2025-03-24,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4561.851351351352,4,madrid,arganzuela,Venta,piso,337577.0,74.0,4,2,buen estado,1945,bajo,1,1,0,0,0,5.52,2024-11-18,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4812.829268292683,5,madrid,arganzuela,Venta,piso,394652.0,82.0,3,1,buen estado,1981,quinto,1,0,,0,1,5.97,2024-11-04,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4871.72972972973,6,madrid,salamanca,Venta,piso,270381.0,55.5,3,2,buen estado,1994,cuarto,1,0,1,,1,6.83,2024-10-20,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4467.446153846154,7,madrid,arganzuela,Venta,piso,290384.0,65.0,2,1,reformado,1999,primero,1,0,1,1,0,4.81,2025-02-27,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4509.926160337553,8,madrid,retiro,Alquiler,estudio,427541.0,94.8,1,1,reformado,1970,noveno,1,0,0,0,0,7.07,2024-11-27,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
,9,madrid,arganzuela,Venta,estudio,,83.3,1,1,obra nueva,2018,tercero,1,1,0,0,0,5.54,2024-11-03,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5406.526082130966,10,madrid,centro,Venta,estudio,487128.0,90.1,1,1,buen estado,1975,quinto,,0,0,0,1,7.45,,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Vivienda de planta única, generalmente compacta.",5460.863809366209
4554.20233463035,11,madrid,chamberí,Venta,estudio,234086.0,51.4,1,1,buen estado,1991,primero,0,1,1,0,0,,2025-03-13,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5694.474747474747,12,madrid,arganzuela,Venta,estudio,563753.0,99.0,1,1,buen estado,1998,sexto,0,0,1,1,0,7.87,2024-12-17,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Vivienda de planta única, generalmente compacta.",5460.863809366209
4649.9901283316885,13,madrid,arganzuela,Venta,piso,471044.0,101.3,2,2,buen estado,1977,bajo,1,1,0,0,0,5.35,2024-12-06,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4519.007537688442,14,madrid,salamanca,Alquiler,piso,359713.0,79.6,4,1,buen estado,1972,noveno,0,0,0,0,0,4.83,2024-12-28,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4061.859296482412,15,madrid,chamberí,Venta,piso,404155.0,99.5,5,,reformado,1989,séptimo,1,0,0,1,0,3.35,2024-11-14,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4107.5848032564445,16,madrid,retiro,Venta,estudio,302729.0,73.7,1,1,buen estado,1993,noveno,1,1,0,1,1,2.4,2025-01-26,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5505.959595959595,17,madrid,tetuán,Venta,piso,599599.0,108.9,3,1,a reformar,1990,octavo,1,0,0,,1,3.59,2025-02-12,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4350.275761973875,18,madrid,salamanca,Alquiler,ático,299734.0,68.9,2,1,buen estado,1988,segundo,1,,0,0,0,7.29,2025-04-01,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Piso en la última planta, con vistas y terraza.",5460.863809366209
4556.63430420712,19,madrid,centro,Venta,piso,140800.0,30.9,3,2,buen estado,1956,séptimo,0,1,1,1,1,6.41,2025-02-21,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4916.3097949886105,20,madrid,retiro,Alquiler,ático,431652.0,87.8,3,1,buen estado,1977,primero,0,0,0,1,1,4.1,2025-04-01,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Piso en la última planta, con vistas y terraza.",5460.863809366209
5089.558823529412,21,madrid,tetuán,Alquiler,dúplex,484526.0,95.2,3,1,buen estado,1951,cuarto,0,0,0,1,0,5.54,2025-01-28,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,Apartamento de dos niveles comunicados mediante escalera interna.,5460.863809366209
5073.258426966292,22,madrid,chamberí,Venta,chalet,316064.0,62.3,3,1,reformado,1978,cuarto,0,0,0,1,1,6.45,2025-02-14,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Casa independiente, a menudo con jardín y mayor espacio.",5460.863809366209
5127.286432160804,23,madrid,chamberí,Venta,piso,510165.0,99.5,3,1,buen estado,1988,ático,1,0,0,0,1,5.66,2025-02-15,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
3182.010703363914,24,madrid,tetuán,Venta,piso,416207.0,130.8,5,1,buen estado,1976,octavo,0,1,0,0,0,4.13,2024-10-09,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4401.699029126214,25,madrid,tetuán,Venta,piso,272025.0,61.8,3,2,reformado,1985,cuarto,0,0,0,1,0,6.43,2024-12-09,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5224.598765432099,26,madrid,salamanca,Venta,piso,507831.0,97.2,3,2,buen estado,1971,séptimo,0,0,0,0,1,4.97,2024-10-26,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5239.480968858132,27,madrid,tetuán,Alquiler,piso,454263.0,86.7,6,1,buen estado,1998,octavo,1,0,0,0,0,3.63,2024-11-20,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5639.6291390728475,28,madrid,retiro,Venta,estudio,425792.0,75.5,1,1,a reformar,1986,octavo,0,1,0,0,1,6.48,2025-04-03,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5440.234948604993,29,madrid,chamberí,Alquiler,piso,370480.0,68.1,5,1,buen estado,1974,quinto,0,1,0,1,0,4.46,2025-01-29,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5588.394607843137,30,madrid,tetuán,Venta,piso,456013.0,81.6,4,1,buen estado,1989,bajo,1,,0,1,1,,2025-03-08,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5215.059952038369,31,madrid,tetuán,Venta,piso,434936.0,83.4,1,1,buen estado,1983,ático,1,1,,,0,5.08,2024-10-24,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
6236.079913606912,32,madrid,chamberí,Venta,piso,577461.0,92.6,2,2,buen estado,1984,octavo,1,0,0,1,1,6.36,2024-12-08,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4844.733581164808,33,madrid,retiro,Venta,piso,390970.0,80.7,1,1,buen estado,2000,noveno,1,1,1,0,1,4.86,2025-03-05,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4640.470914127423,34,madrid,centro,Venta,piso,335042.0,72.2,4,1,buen estado,2001,primero,0,0,0,0,0,6.02,2024-11-02,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4684.556962025316,35,madrid,arganzuela,Venta,piso,370080.0,79.0,4,1,buen estado,1990,bajo,0,0,1,1,0,,2025-03-30,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5725.079787234043,36,madrid,arganzuela,Alquiler,piso,645789.0,112.8,3,1,buen estado,1978,quinto,0,0,1,,0,6.78,2024-11-05,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4224.431137724551,37,madrid,chamberí,Venta,piso,282192.0,66.8,2,1,buen estado,1990,segundo,0,0,0,0,0,,2024-12-19,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5522.120418848168,38,madrid,centro,Venta,ático,632835.0,114.6,1,1,buen estado,1954,octavo,1,1,0,1,0,7.08,2024-11-03,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Piso en la última planta, con vistas y terraza.",5460.863809366209
,39,madrid,salamanca,Venta,piso,,,4,1,buen estado,1996,primero,1,0,0,1,1,3.92,2024-12-08,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5538.112149532711,40,madrid,chamberí,Venta,piso,296289.0,53.5,1,1,reformado,1983,bajo,1,1,0,1,0,6.64,2024-11-20,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5043.489583333334,41,madrid,centro,Venta,piso,387340.0,76.8,1,1,reformado,1986,séptimo,1,1,1,1,0,5.6,2024-12-21,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5010.564826700898,42,madrid,centro,Venta,estudio,390323.0,77.9,1,1,obra nueva,2023,séptimo,1,1,0,0,1,5.76,2024-11-17,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5896.7509363295885,43,madrid,chamberí,Venta,chalet,629773.0,106.8,1,1,buen estado,2001,octavo,0,0,1,0,0,7.44,2024-10-24,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Casa independiente, a menudo con jardín y mayor espacio.",5460.863809366209
5086.624277456647,44,madrid,arganzuela,Venta,piso,439993.0,86.5,2,1,buen estado,1974,octavo,0,0,0,1,0,7.34,2024-11-18,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
,45,madrid,salamanca,Alquiler,piso,,,5,3,buen estado,1950,noveno,0,1,1,0,0,3.4,2024-10-26,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5214.662576687117,46,madrid,arganzuela,Alquiler,piso,339996.0,65.2,2,2,reformado,1960,noveno,1,0,0,1,1,7.37,2024-12-11,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4609.130998702984,47,madrid,tetuán,Venta,estudio,355364.0,77.1,1,,buen estado,1975,noveno,1,,0,1,1,5.64,2025-03-02,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
4332.941176470588,48,madrid,tetuán,Venta,piso,375666.0,86.7,5,1,buen estado,2007,quinto,1,1,0,1,1,6.63,2024-12-09,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4174.857433808554,49,madrid,retiro,Venta,estudio,409971.0,98.2,1,1,buen estado,1998,quinto,0,1,,0,0,4.16,2024-10-27,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
4573.911764705882,50,madrid,salamanca,Venta,chalet,311026.0,68.0,2,1,a reformar,2010,primero,1,0,0,1,0,3.41,2025-02-23,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,28477.0,5018.591066283978,40.4207,-3.7176,1,3,3,1,medio,6.3,3.1,8.4,"Casa independiente, a menudo con jardín y mayor espacio.",5460.863809366209
4682.806484295846,51,madrid,chamberí,Venta,piso,462193.0,98.7,1,1,buen estado,1973,primero,1,1,0,0,1,6.21,2024-12-10,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5495.5167173252285,52,madrid,retiro,Venta,piso,361605.0,65.8,,,buen estado,1968,cuarto,1,1,1,0,1,2.33,,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4922.631048387097,53,madrid,arganzuela,Venta,estudio,488325.0,99.2,,1,buen estado,1983,ático,1,1,0,1,0,4.48,2024-11-04,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5518.472527472528,54,madrid,chamberí,Venta,ático,502181.0,91.0,1,1,obra nueva,2019,cuarto,1,0,1,1,0,5.31,2024-12-20,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Piso en la última planta, con vistas y terraza.",5460.863809366209
4449.64221824687,55,madrid,tetuán,Venta,piso,248735.0,55.9,4,2,buen estado,1983,cuarto,1,1,0,1,1,,2025-02-15,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4861.024096385542,56,madrid,centro,Venta,ático,484158.0,99.6,3,1,buen estado,1980,ático,0,1,0,1,0,3.64,2025-01-25,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Piso en la última planta, con vistas y terraza.",5460.863809366209
5468.358061325421,57,madrid,retiro,Venta,piso,552851.0,101.1,3,3,buen estado,1963,cuarto,1,0,1,0,1,0.79,2024-11-19,Madrid,3300000,604.3,5000,40.4168,-3.7038,norte,20788.0,5043.203586080414,40.4166,-3.7224,3,1,7,1,alto,9.3,5.5,4.6,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
,58,madrid,arganzuela,Venta,estudio,,,1,1,buen estado,1984,primero,0,1,1,0,0,4.77,2024-10-28,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Vivienda de planta única, generalmente compacta.",5460.863809366209
5354.52855245684,59,madrid,arganzuela,Alquiler,piso,403196.0,75.3,2,1,obra nueva,2022,octavo,1,1,0,1,0,8.26,2024-11-15,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,31325.0,4974.250892259588,40.4132,-3.6936,1,0,6,4,alto,6.5,6.6,6.4,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
5803.117408906883,60,madrid,centro,Venta,piso,573348.0,98.8,2,1,reformado,1970,bajo,1,0,0,1,1,5.69,2025-01-08,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Apartamento en edificio, usualmente con varias plantas.",5460.863809366209
4544.787096774194,61,madrid,chamberí,Venta,estudio,352221.0,77.5,1,1,buen estado,1974,octavo,0,0,1,0,0,5.51,2025-01-21,Madrid,3300000,604.3,5000,40.4168,-3.7038,centro,30715.0,5015.702449625389,40.4085,-3.7091,2,1,0,1,bajo,4.2,6.1,6.6,"Vivienda de planta única, generalmente compacta.",5460.863809366209
4595.303468208092,62,madrid,tetuán,Alquiler,ático,317995.0,69.2,1,1,buen estado,1989,segundo,1,0,0,1,0,6.1,2024-11-23,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,27319.0,5006.982683195612,40.3993,-3.7114,3,1,6,0,alto,8.0,4.9,8.6,"Piso en la última planta, con vistas y terraza.",5460.863809366209
4168.486122792262,63,madrid,centro,Venta,estudio,495633.0,118.9,,1,buen estado,1994,sexto,1,1,1,0,0,5.42,,Madrid,3300000,604.3,5000,40.4168,-3.7038,periférico,30416.0,5010.976877804975,40.408,-3.7021,1,0,3,4,medio,5.7,5.7,6.5,"Vivienda de planta única, generalmente compacta.",5460.863809366209
