id_propiedad,ciudad,barrio,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion
1,madrid,arganzuela,Venta,estudio,,57.8,1,1,buen estado,2000,segundo,1,1,0,0,1,4.1,2024-11-04
2,madrid,arganzuela,Alquiler,piso,,,3,1,buen estado,1996,bajo,1,1,0,0,1,5.26,2024-10-16
3,madrid,salamanca,Venta,piso,821455.0,153.97818499224647,2,1,buen estado,1996,tercero,0,1,0,0,0,5.13,2025-03-24
4,madrid,arganzuela,Venta,piso,337577.0,74.0,4,2,buen estado,1945,bajo,1,1,0,0,0,5.52,2024-11-18
5,madrid,arganzuela,Venta,piso,394652.0,82.0,3,1,buen estado,1981,quinto,1,0,,0,1,5.97,2024-11-04
6,madrid,salamanca,Venta,piso,270381.0,55.5,3,2,buen estado,1994,cuarto,1,0,1,,1,6.83,2024-10-20
7,madrid,arganzuela,Venta,piso,290384.0,65.0,2,1,reformado,1999,primero,1,0,1,1,0,4.81,2025-02-27
8,madrid,retiro,Alquiler,estudio,427541.0,94.8,1,1,reformado,1970,noveno,1,0,0,0,0,7.07,2024-11-27
9,madrid,arganzuela,Venta,estudio,,83.3,1,1,obra nueva,2018,tercero,1,1,0,0,0,5.54,2024-11-03
10,madrid,centro,Venta,estudio,487128.0,90.1,1,1,buen estado,1975,quinto,,0,0,0,1,7.45,
11,madrid,chamberí,Venta,estudio,234086.0,51.4,1,1,buen estado,1991,primero,0,1,1,0,0,,2025-03-13
12,madrid,arganzuela,Venta,estudio,563753.0,99.0,1,1,buen estado,1998,sexto,0,0,1,1,0,7.87,2024-12-17
13,madrid,arganzuela,Venta,piso,471044.0,101.3,2,2,buen estado,1977,bajo,1,1,0,0,0,5.35,2024-12-06
14,madrid,salamanca,Alquiler,piso,359713.0,79.6,4,1,buen estado,1972,noveno,0,0,0,0,0,4.83,2024-12-28
15,madrid,chamberí,Venta,piso,404155.0,99.5,5,,reformado,1989,séptimo,1,0,0,1,0,3.35,2024-11-14
16,madrid,retiro,Venta,estudio,302729.0,73.7,1,1,buen estado,1993,noveno,1,1,0,1,1,2.4,2025-01-26
17,madrid,tetuán,Venta,piso,599599.0,108.9,3,1,a reformar,1990,octavo,1,0,0,,1,3.59,2025-02-12
18,madrid,salamanca,Alquiler,ático,299734.0,68.9,2,1,buen estado,1988,segundo,1,,0,0,0,7.29,2025-04-01
19,madrid,centro,Venta,piso,140800.0,30.9,3,2,buen estado,1956,séptimo,0,1,1,1,1,6.41,2025-02-21
20,madrid,retiro,Alquiler,ático,431652.0,87.8,3,1,buen estado,1977,primero,0,0,0,1,1,4.1,2025-04-01
21,madrid,tetuán,Alquiler,dúplex,484526.0,95.2,3,1,buen estado,1951,cuarto,0,0,0,1,0,5.54,2025-01-28
22,madrid,chamberí,Venta,chalet,316064.0,62.3,3,1,reformado,1978,cuarto,0,0,0,1,1,6.45,2025-02-14
23,madrid,chamberí,Venta,piso,510165.0,99.5,3,1,buen estado,1988,ático,1,0,0,0,1,5.66,2025-02-15
24,madrid,tetuán,Venta,piso,416207.0,130.8,5,1,buen estado,1976,octavo,0,1,0,0,0,4.13,2024-10-09
25,madrid,tetuán,Venta,piso,272025.0,61.8,3,2,reformado,1985,cuarto,0,0,0,1,0,6.43,2024-12-09
26,madrid,salamanca,Venta,piso,507831.0,97.2,3,2,buen estado,1971,séptimo,0,0,0,0,1,4.97,2024-10-26
27,madrid,tetuán,Alquiler,piso,454263.0,86.7,6,1,buen estado,1998,octavo,1,0,0,0,0,3.63,2024-11-20
28,madrid,retiro,Venta,estudio,425792.0,75.5,1,1,a reformar,1986,octavo,0,1,0,0,1,6.48,2025-04-03
29,madrid,chamberí,Alquiler,piso,370480.0,68.1,5,1,buen estado,1974,quinto,0,1,0,1,0,4.46,2025-01-29
30,madrid,tetuán,Venta,piso,456013.0,81.6,4,1,buen estado,1989,bajo,1,,0,1,1,,2025-03-08
31,madrid,tetuán,Venta,piso,434936.0,83.4,1,1,buen estado,1983,ático,1,1,,,0,5.08,2024-10-24
32,madrid,chamberí,Venta,piso,577461.0,92.6,2,2,buen estado,1984,octavo,1,0,0,1,1,6.36,2024-12-08
33,madrid,retiro,Venta,piso,390970.0,80.7,1,1,buen estado,2000,noveno,1,1,1,0,1,4.86,2025-03-05
34,madrid,centro,Venta,piso,335042.0,72.2,4,1,buen estado,2001,primero,0,0,0,0,0,6.02,2024-11-02
35,madrid,arganzuela,Venta,piso,370080.0,79.0,4,1,buen estado,1990,bajo,0,0,1,1,0,,2025-03-30
36,madrid,arganzuela,Alquiler,piso,645789.0,112.8,3,1,buen estado,1978,quinto,0,0,1,,0,6.78,2024-11-05
37,madrid,chamberí,Venta,piso,282192.0,66.8,2,1,buen estado,1990,segundo,0,0,0,0,0,,2024-12-19
38,madrid,centro,Venta,ático,632835.0,114.6,1,1,buen estado,1954,octavo,1,1,0,1,0,7.08,2024-11-03
39,madrid,salamanca,Venta,piso,,,4,1,buen estado,1996,primero,1,0,0,1,1,3.92,2024-12-08
40,madrid,chamberí,Venta,piso,296289.0,53.5,1,1,reformado,1983,bajo,1,1,0,1,0,6.64,2024-11-20
